data,hora,mandante,visitante,rodada
2026-07-02,20:00,Cuiabá,América-MG,Rodada
2026-07-02,21:00,Fortaleza,Ponte Preta,Rodada
2026-07-04,16:00,Novorizontino,Atlético-GO,Rodada
2026-07-04,16:00,Londrina,CRB,Rodada
2026-07-04,16:00,Criciúma,Sport Recife,Rodada
2026-07-04,20:00,Goiás,Ceará,Rodada
